sample_id,Al_pct,Mg_pct,Si_pct,Cu_pct,Zn_pct,Fe_pct,aging_temp_C,aging_time_hr,cooling_rate_Cps,grain_size_um,tensile_strength_MPa,elongation_pct,hardness_HV
1,97.14,1.88,1.09,0.83,4.71,0.217,180.3,4.97,6.24,65.9,369.9,19.32,123.5
2,95.19,2.04,1.22,0.71,4.56,0.247,193.0,20.05,46.92,59.7,394.5,20.19,131.9
3,95.09,1.98,0.78,1.36,2.24,0.356,159.8,8.16,10.22,52.6,367.5,17.27,113.3
4,94.33,1.73,1.35,1.1,3.14,0.399,175.2,4.85,26.68,27.4,361.5,19.1,120.9
5,97.75,0.44,1.47,1.06,1.94,0.292,219.7,4.78,20.48,41.6,285.3,23.03,96.9
6,94.15,0.6,0.74,1.98,4.05,0.37,135.9,14.91,35.78,73.5,351.8,17.33,106.6
7,96.71,0.51,0.23,1.57,0.5,0.153,160.7,8.47,11.21,32.3,295.6,23.13,91.8
8,96.6,0.29,0.37,0.86,0.71,0.328,206.3,20.89,27.01,71.7,295.5,17.48,100.8
9,96.62,2.55,0.48,0.95,3.51,0.085,209.2,13.38,5.34,37.5,395.6,19.48,130.5
10,96.59,0.6,1.07,1.33,3.15,0.347,191.2,20.38,6.14,65.8,346.9,17.4,108.7
11,97.17,2.67,0.3,1.14,0.83,0.434,206.7,9.43,44.71,14.5,416.2,17.4,140.0
12,96.98,1.64,1.08,1.29,1.18,0.071,129.5,8.56,41.36,,331.0,19.23,101.9
13,94.23,2.78,0.81,0.26,4.92,0.573,194.7,17.95,36.09,76.0,400.5,17.18,131.1
14,98.05,1.23,0.11,1.26,1.61,0.35,199.6,19.85,12.55,17.0,364.0,19.34,107.8
15,96.51,1.72,1.32,0.67,3.13,0.379,207.0,6.39,24.32,6.2,431.1,18.05,136.8
16,95.34,1.98,1.22,1.5,0.99,0.272,132.7,18.61,29.55,19.4,357.3,20.89,97.7
17,98.48,1.98,0.2,0.27,2.03,0.052,139.1,19.63,29.92,74.5,319.9,18.58,99.8
18,95.29,1.4,1.04,0.36,4.62,0.401,143.4,19.81,2.51,12.8,390.4,18.93,116.8
19,94.33,0.42,1.4,1.5,3.02,0.346,182.9,2.02,37.79,12.0,332.0,18.84,112.1
20,96.92,2.24,0.6,1.92,2.13,0.566,198.4,18.03,7.39,36.1,370.9,19.29,122.0
21,94.36,1.32,1.49,1.95,3.46,0.354,152.7,13.07,44.79,44.7,382.4,14.02,120.4
22,97.52,2.1,0.3,1.5,2.84,0.563,146.9,21.53,1.9,19.9,391.6,17.53,135.6
23,94.1,1.24,0.35,1.35,2.3,0.466,176.8,5.2,27.76,27.2,304.8,22.15,91.0
24,96.69,1.37,0.33,0.63,0.24,0.168,143.0,21.79,39.27,13.7,324.1,21.65,107.6
25,98.57,1.33,0.38,1.65,0.43,0.352,171.3,6.71,11.28,8.4,344.1,17.77,106.5
26,97.16,1.13,0.89,1.28,1.97,0.16,144.5,16.4,25.66,67.7,323.3,19.47,99.8
27,95.57,0.35,0.9,0.64,0.62,0.226,147.5,8.17,36.07,64.2,250.0,20.88,75.0
28,96.06,2.98,1.47,0.42,3.5,0.278,204.0,3.27,16.93,16.5,394.3,19.75,131.7
29,95.1,2.12,0.52,1.86,4.94,0.139,163.2,20.58,30.92,17.2,431.2,17.57,126.6
30,96.52,0.69,1.04,0.17,1.6,0.565,145.7,12.96,2.39,42.9,273.7,20.33,78.4
31,97.06,2.86,0.32,1.35,1.42,0.28,214.6,14.58,22.67,42.1,363.0,17.62,118.6
32,97.9,2.18,0.29,1.14,2.99,0.09,145.0,16.42,46.59,,382.8,19.47,129.2
33,94.54,2.18,0.67,0.53,4.55,0.531,183.9,8.95,40.64,,399.6,19.66,112.6
34,98.05,1.79,1.0,0.79,2.76,0.243,201.8,22.84,15.02,25.1,381.6,21.0,123.8
35,97.21,2.56,1.06,1.01,2.2,0.08,190.9,2.13,39.07,65.8,345.4,19.89,109.9
36,94.89,1.67,0.86,0.45,1.63,0.117,124.1,17.37,42.8,37.6,318.9,21.92,98.0
37,95.71,1.14,1.17,0.33,4.18,0.535,162.0,7.96,30.48,12.5,384.7,18.66,120.2
38,95.9,2.95,0.75,1.88,4.53,0.316,197.0,9.73,14.4,49.9,430.4,15.53,145.9
39,95.12,0.53,0.5,1.35,4.29,0.564,207.1,16.28,25.68,75.0,328.9,20.4,109.0
40,95.43,2.23,1.05,1.88,1.8,0.122,120.8,4.9,23.12,69.3,334.4,20.68,103.9
41,96.54,2.44,0.66,1.13,2.84,0.422,200.2,12.73,16.51,36.2,392.1,18.36,121.6
42,98.75,1.9,1.24,1.7,0.48,0.283,150.6,8.84,38.11,,336.1,17.85,105.2
43,98.11,0.63,0.16,1.59,3.31,0.113,182.3,14.85,15.28,70.7,316.4,22.5,97.6
44,94.46,1.45,1.49,1.29,3.98,0.369,151.7,2.18,35.31,70.4,335.5,19.51,100.3
45,96.28,0.69,0.57,1.47,1.41,0.382,127.2,7.99,11.84,49.1,300.2,18.51,91.7
46,94.68,2.62,1.28,0.46,4.89,0.551,149.0,12.13,30.87,40.8,404.9,19.36,122.8
47,96.76,2.03,0.4,1.1,3.38,0.211,160.8,14.22,32.7,20.5,380.9,18.75,122.0
48,98.75,2.02,1.0,0.78,1.09,0.244,137.9,10.84,36.72,58.3,779.0,21.72,96.4
49,94.81,0.5,0.18,1.33,2.68,0.494,123.1,15.79,11.91,8.8,314.8,19.87,101.0
50,95.8,2.64,1.13,1.32,4.6,0.217,181.4,7.55,45.63,43.2,425.4,19.8,141.8
51,94.87,1.31,0.97,0.84,3.11,0.087,140.1,12.2,29.87,61.7,328.8,22.37,109.9
52,94.18,1.49,1.07,1.38,3.38,0.395,153.6,7.33,13.34,76.3,342.6,21.21,129.3
53,98.81,2.5,0.78,0.14,3.23,0.178,171.5,8.03,47.99,15.6,395.0,18.77,127.4
54,97.22,0.86,0.11,0.79,0.2,0.306,186.4,16.77,28.96,29.4,308.0,19.14,105.9
55,98.18,0.75,0.1,1.93,1.43,0.203,180.9,21.56,23.12,47.7,336.2,20.55,103.4
56,95.36,2.43,1.33,1.0,4.04,0.233,139.0,21.83,13.5,30.5,400.9,15.09,124.0
57,97.97,1.47,0.99,0.76,1.51,0.368,148.6,16.83,21.06,25.5,343.2,18.7,105.0
58,96.85,2.24,1.43,0.8,4.77,0.213,139.7,6.43,5.12,70.2,397.8,16.45,128.0
59,97.21,0.79,0.51,1.74,1.5,0.583,165.0,20.8,18.12,28.2,339.3,18.41,112.1
60,97.06,1.06,0.42,1.32,1.25,0.275,174.8,6.72,49.98,34.9,323.0,20.5,105.7
61,98.62,2.91,0.8,0.02,3.32,0.114,218.7,21.47,35.09,70.9,396.9,20.55,134.8
62,98.66,2.39,1.12,0.14,4.63,0.515,143.7,21.19,35.52,39.9,412.7,21.09,136.6
63,96.34,0.37,1.36,1.35,2.89,0.599,134.0,15.08,41.24,28.5,310.2,21.65,88.3
64,97.64,2.03,0.15,1.38,0.08,0.513,148.9,13.77,26.96,55.0,299.5,20.44,89.8
65,96.05,2.7,0.11,1.25,4.73,0.168,186.3,10.09,22.68,35.7,431.4,17.21,141.8
66,98.46,2.46,0.69,1.21,3.9,0.583,172.8,2.1,15.88,13.5,396.7,19.43,128.6
67,94.57,1.75,0.36,0.79,2.37,0.359,169.1,13.29,24.72,46.0,329.7,19.35,104.1
68,98.96,1.55,0.14,1.09,4.0,0.22,127.5,4.19,40.14,47.0,320.7,19.95,103.2
69,98.87,0.21,0.23,0.93,1.29,0.117,130.1,8.09,24.31,16.2,278.0,19.04,99.0
70,96.11,1.9,0.35,1.66,3.59,0.122,201.7,19.89,29.86,64.2,380.5,19.04,122.4
71,94.92,0.78,0.5,0.62,0.96,0.112,155.4,8.0,34.27,57.8,287.9,19.73,94.0
72,96.73,0.97,0.73,1.17,2.34,0.308,192.1,21.77,27.95,62.1,338.5,19.65,105.7
73,94.37,1.88,0.77,0.05,2.98,0.109,168.5,8.49,35.61,44.4,358.3,18.75,118.9
74,98.19,2.14,0.62,1.58,0.27,0.087,210.3,5.47,4.58,75.9,342.0,19.84,110.5
75,94.52,2.75,1.34,1.14,1.06,0.306,130.6,3.94,12.99,25.3,351.4,21.31,111.3
76,96.79,1.05,0.44,1.38,4.83,0.598,134.7,12.35,23.55,58.8,344.9,19.73,112.8
